item_name,item_price,free_shipping,shoe_size,number_of_images,seller_rating,adult_shoe,youth_shoe,child_shoe,item_url
men size social status nike dunk mid free lunch chocolate milk dj,$230.00,False,7,12,37,True,False,False,https://www.ebay.com/itm/313680706977?_trkparms=ispr%3D1&hash=item4908d3bda1%3Ag%3A1LMAAOSwBK1hR-j%7E&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSB0Xm7k0guzAysaIMfJcbBAPWmVKumFvUMlyLHygZqY5dFoGsRdB%252BB9hKOmL%252Ffxu9Qk5dVzsySKPSJj9r96DbcA6cq4j6CZn1TCr2%252BxCI9NbBrVd%252B3VNb8U3rZdjHeNg885VEoCpbljATK95KbgfVs%252F7LFFKf%252Fv954EAulOtCl78r%252FaPCObQOcweB%252BR%252B8DrFXx2T51F9YLA4IYFPa1y4NZjJ%252FlCmEhnr6vMJ16OX5lXsl6Z9a2BPqtwbDUyl%252FwDvLV%252BltuZUjzegdaNjVWB08iAnxo0gBN%252B%252BGEaTylGZfGWlICUlVBIdWl23IcDzFPUdm%252BFkEPKpEbLkRu2Cr%252FvD6bcptwtL0ObVgg0MN7F6Cgdu9%252BJJZ%252B8LY%252BXW%252BXFnbBVrug5nwblFvLdty1eXwR0LHP%252B4T3ip%252BvT1G91P30VVG72SY7aPT4uhejBTQlRDAKED3hwlySwuq%252B7051G0ZOo9TGXE8Kc0isvJO1f%252BMQrHzecRDV8rZ%252BFh8IPcHASmJAHozbq4vcJmtBFlM0qGdEyXsrgm%252B1tyFby%252FOtLFFlDDny9LNmwOxMAveRDBBQxlkVzYR2UZoPQj23PqaRid9LC5zZ4h1Gd5j58oGBinZhZZFbnLXv0dJ214wAktEXxnxNFl7niRyRvdRuMRxd95hPD5BveviTiIonSM67adiXoYjFDLh5dveMiA7%252BK37vrRON0ptycht%252BsZGCScTwSHs6CAve5%252BcWjFMkEpRf%252F6bQTi1mdwOC6Vn7BjA%252B53Lu3aZtU%252BwIaijSGf0HtmhUtiv2ya%252F9eXfruh25yGGazKosGa0k0RJRu0BpAOsPaPjKPa%252BPKDo2p4tweNfP47vBjMbA1Ok3oc3pNojgElFIBWWcyTLyZc%253D%7Cclp%3A2334524%7Ctkp%3ABFBMhMaP5ppf&LH_ItemCondition=1000
social status nike dunk mid chocolate milk size men,$290.00,False,5.5,10,35,True,False,False,https://www.ebay.com/itm/144218036157?epid=26050264777&_trkparms=ispr%3D1&hash=item21941097bd%3Ag%3AergAAOSwywlhT1YE&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS9d9gBrkNbRQtRn8MVXnYkjE7QXXjp2i07SMzTk%252BfUXfGL%252BC%252BjrIHda3sbXkYIumQXZ4GPfMWMX%252Fu%252BSD6z%252BA6O5O8uhMFq5WS0v213f2pyi4uj4rwUU3S7TBD0A8ATLLWiZNJRK5LgFZ5Y2qg1ucDXidt1plH0l9ECBaN2XRZlv24WR1afG6WRyay4BYH9YypjBoN%252Bf4eRQlFywh5VoLtzn%252ByIuXB8rOR9VVBgPwv8dP%252BaRcMzmaPohw%252BSQYo%252BZ41VuOliYSOg4%252F6Jhvu9fUXsig2BSV0EM4UgIzZZiKjt8q%252F5Z%252B%252F%252FS5SdvqloDqpdmY9lOIATDQhHfnCAil1%252BJwRL%252FeAZG6l78J2HTuNrSbLNs4jkuFUVkSA4%252Bon%252BEhzh5F57L3Hbgi39Lf3%252F8gk2auMlJX0xPwvWYWDKofqMTrD8UwcatXc5tWAVYEDLW9nmRBEQSTTHLoFjILOyIhbrcHLEwrjPp1YtZGZkmYb0%252Fg%252FCive6gCrzTWGm9FneUXWOFfOyYdR4YkUfCzuqcaeDLOuEn7OcIys8W7%252B7UCnFG5PsLcGux%252BwJf3DKQ3LOwR1jFwMd%252FeR3Vc2GkE7xhXrfhXNqK183gpCwxH0MBNggma5lDHQaKLHW0pDMXfg0gPvf9PnJxvRWLmCR5lp05JNQ%252BTY1umNArT1GNPesz19C%252BwOwyT7gFTzokh8%252BwKVHflpr5skZPOQQBipVYVkpcqRREucu75VEDJpfHGZJ2MXdrpOHE7w%252FYe3RTD9T85AE5Ux%252BcghW%252B0XFDP%252FXiX5GQQRxK2JMOoA9BPgJlGb62WSCY4oiTda1Z2WcDJqX0rUQIxQXCdgq7vyIIVHqUzuf%252BNekjK7Z%252F6V%252BZ1%252B3ZU%252F7TWF3jjXszM%253D%7Cclp%3A2334524%7Ctkp%3ABFBMhMaP5ppf&LH_ItemCondition=1000
nike dunk social status chocolate milk size,$240.00,False,10.5,3,157,True,False,False,https://www.ebay.com/itm/255202283420?hash=item3b6b3dcf9c%3Ag%3A2kcAAOSwuHJhfJY9&LH_ItemCondition=1000
nike social status dunk mid free lunch chocolate milk size dj,$280.00,True,5.5,9,11680,True,False,False,https://www.ebay.com/itm/115061255403?epid=26050264777&hash=item1aca2f6ceb%3Ag%3A5lkAAOSw1pJhdP52&LH_ItemCondition=1000
social status nike free lunch dunk chocolate milk sz dj ds,$280.00,False,13,5,636,True,False,False,https://www.ebay.com/itm/154668163370?epid=14050253750&hash=item2402f0e12a%3Ag%3A0igAAOSwFzdhb1aa&LH_ItemCondition=1000
nike dunk mid social status chocolate milk new size men,$200.00,False,7,5,21,True,False,False,https://www.ebay.com/itm/115071950682?epid=20050257650&hash=item1acad29f5a%3Ag%3AFGUAAOSwJrxhfbL6&LH_ItemCondition=1000
size nike dunk low ps chocolate milk social status nike free lunch,$140.00,False,3,8,1,True,False,False,https://www.ebay.com/itm/353749126167?hash=item525d174c17%3Ag%3AyGgAAOSwON1hfJ7t&LH_ItemCondition=1000
nike dunk mid social status chocolate milk size,$215.00,True,6.5,3,265,True,False,False,https://www.ebay.com/itm/154676941697?hash=item240376d381%3Ag%3ALPgAAOSw5A1hfaaC&LH_ItemCondition=1000
nike dunk social status free lunch chocolate milk dj size,$250.00,True,8,5,20,True,False,False,https://www.ebay.com/itm/275006743480?epid=11050250164&hash=item4007ade3b8%3Ag%3AodMAAOSwAzVhfDUr&LH_ItemCondition=1000
nike dunk mid social status free lunch chocolate milk strawberry milk,$499.99,True,9.5,1,183,True,False,False,https://www.ebay.com/itm/115070796834?epid=5050263488&hash=item1acac10422%3Ag%3ATXwAAOSwtethfOXU&LH_ItemCondition=1000
social status dunk chocolate milk,$250.00,False,5.5,5,0,True,False,False,https://www.ebay.com/itm/304204691888?hash=item46d40339b0%3Ag%3AR5sAAOSw4ORhfAyo&LH_ItemCondition=1000
nike dunk mid social status free lunch chocolate milk,$260.00,False,12,5,69,True,False,False,https://www.ebay.com/itm/275000604843?epid=6050266072&hash=item40075038ab%3Ag%3A6jsAAOSwM3Zhdsq5&LH_ItemCondition=1000
social status nike dunk free lunch chocolate milk dm td ds br new,$145.00,True,9,8,231,False,False,True,https://www.ebay.com/itm/115011495565?_trkparms=ispr%3D1&hash=item1ac738268d%3Ag%3ASGwAAOSwKV1hUBfe&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSR84A%252FGMxXIqJzFmDq6lDLqhZitX7SDUaihqqjfA92g70cImVrpAgWKW6AQgWynN5bovCl9IzZf0HzW0yGCCBXyNXWtAJqzlw2wRJ91mQ8PtffYeY4YNKsxVEGBTvMQqUCtwZyaIv9w16j0w7SniEzZoRfz3HTGcHzkWcHQltgPs%252B2NkTjwVTsowQEazeKnPZTAbUVQMnbh1kARO%252FW77IjnPDDQmEdUm8%252F2dgqmxpkXRtMj9qlb9sv4Dz8yJtNzvkxiXSxMNvLB158D6qQ4jf563pA83BHFhgtI1QOpJjZhMSkXT78gCtOn1DlJtDns8MNpIfhSAs8qbHpHJmfsSqXVS1FvEyPvDQU6XgKY2j3M4aquKs8CFlYipaJ7tjl%252BIX4YnnjdKS3wg6nacpX6KUhlbsi2XWY5KlOXQ3vJ5FJmwAViZUG%252FO5LeVJTU5Wd%252FxQRu22Mt3MWaDG7tssp6vBdvkzjt%252Bcb9U2lAWduZm3B2HyDfsx5fKDcRCYOgKyiqk%252BOTZpsXkB0DC7bK91RbsGM5hte%252FTliGFBJpoYSU5PEjvEDAd0l5RFAKXOBQAHLxxAdCPxPp3zGdQAtQl9UQ57Bw6y2e092D2dVQBDGy8tMw5TpOLO83a56ZrRGbJ%252B90DPQpFAVm5D3O5%252FdKRLo3tx4g8El3cyqihzlXFFmGOwNBrcPF%252BFhrRT7FuzmoA1d%252BivEEk6xOFZWhbByjnw7eKNno8jpMG4yIv8M5TAQ94WIGuX0lqY2gWKUfiqrQgqdhcmZhohDz5QY1RdDe76T3KOIa9CZxPMfEFURyLPEii07Iq7Tq7%252BGFWKoX%252BrV6yyxEokmMmtAEdAlD7Nm2CteUQGL9WB%252Bvk5RiUXIeWcWSJKBv8%253D%7Cclp%3A2334524%7Ctkp%3ABFBMhMaP5ppf&LH_ItemCondition=1000
nike dunk mid social status free lunch chocolate milk dj,$240.00,True,9.5,7,154,True,False,False,https://www.ebay.com/itm/284510121417?epid=5050263488&_trkparms=ispr%3D1&hash=item423e1fedc9%3Ag%3AQDwAAOSwIUthfFrC&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2J0gT%252BTdL%252FIY3BNY0ar1Xann1l3f3x2L3j9%252B2vDiryDY6BI6hjmv%252BGNhC5t%252BCVTGBBIHfSVvBYF3ra6yZHP%252BjigzxqxY4zxQotft8rMovQhwPLIk6M1yY5ftKn61CMUYUbnYP%252B5FKBAR4Gxmwqd26%252F8xRkpqXTFPxWgCXR7ofzPLhlffSGb9bji56stqoIAb%252FPdC2Ud0vqMD2yNCb57Sz04tBnPWDPdYkaZ6sAB2QYtV1S5ArLNCSKtKup8Oy5hYBo3kGp6yLoYK6RAY3HozxegXAX6Rp7cNvJyR0cXbMOYv5Z2Vh6qz%252FdozAUYTEU8xs4xLpaePgiieULc%252FFgLIP%252FVQE%252FmeoR9u5fuw0TiSUvHGGyi%252FLQInDKuhDQNn3FfG6iQF0y0M4z184Ehz65cgfug%252FhHjOpV00yuOsRKFLM2CW4UuDZaOWIrDkivmwm6FQsQsvIQhlC1FXzI4j5h3weOZtmjAcZi5qYc0qICyTOVo2i%252F%252BFznNcewAVMesiczgkoQ%252Burkkjb2pXLDzI%252FE8%252BQQuna7TUpSlZp141S92btyyB5lA1QsvcOx8jTC4diroLFaG6PczAsip1B4UNq4%252FwGhmOLE%252B6VlZ1165lDWtFCxSJyU5erjkuDgYP%252FYrXKvE4pfWDg%252BulqjmsHsrQmS3wQp%252FPGOnR4xwD%252FKreQaZeeCIkz8eWqUwRoyAoYzf8BboVTiDF8Gc0dnj00e%252BVEPXNwVnBFm9oQowvTrXRn%252FwzYFfCw45VT9xqVwUlETNSVRnhn%252Bip6dNwMpC0Ig5IJpyR%252BZ7rsAG0Y2HWxraJAtciavCsjzuxdWSLe1G8br0eGsMBL1rTHxJBe6aRY3ayTqdEkhI%253D%7Cclp%3A2334524%7Ctkp%3ABFBMhMaP5ppf&LH_ItemCondition=1000
ds nike social status free lunch dunk chocolate milk size td brand new,$199.50,False,10,8,112,False,False,True,https://www.ebay.com/itm/234238667816?_trkparms=ispr%3D1&hash=item3689b66c28%3Ag%3ArYIAAOSwmVVhaXGW&amdata=enc%3AAQAGAAACsPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSRAQR8FABHjfpFoyRlXhWmQt9%252BtYH5edwGwW56sqSRlxX%252Fd25mAllofJRScY3bnQMN%252BMesi8IlLVG2q%252FxpKNNRmJx2OT1cIwMn6hSDIrbJff6zDibl%252BQEUzAhGql9usPd9yQFsR4yNAbNUAx6eh6kx1oaKLk9MHsmiy0lBka%252F93NLql7YxaI8zPDRl8ehAM%252F8X5eifGgiifBIHHctdR0b3giKHjBmYp44Xpy5N8mf7IBk24WaSaGVzIIms%252F110qHKdGZzTiqP2B1DrY0tUg%252FgSKwiokIHjUNScUKTNAsEllqhZQ3ZorETMuti83L8sxP1UoL4HDY64u8%252FIvsSdbW80JSBevesoe4kHCXMk5PHzkUY58XmxdYks7QzHQEnD0r4rd8F5izj1RAeYI97683Rl%252FFyG8xufM99ZGVvhSg4Rb1wIMoSWV2%252FmU127Ur%252FE%252FkIjKtv3cPuk58C2RXU%252Fp1lI1%252BY2xb2ONHcaypJfgas2UVLvmVDhYUBYNh9h%252FE0Fdsh%252BugG8HnyU6iuCNLhhWWJCQ7KSRmnbm2MllRRdklMzDe3O13m1WMP7YN0ie0N3CYGDzhXiBpQZKp6Xxh6v%252FjBZ65Gjyy%252Fp2rwa67Q7QKroFkg1%252BzGr18FgWFPe4%252FhhrjLDQY9CjA861y%252FfI%252BFjWTFMdydnTCzhDDcGHI4nPoTBOWrDkqzMQomak5qna%252FmXx%252BaWTXxnhVKdbPGWO8OTReZwgeCSgIes1JOKhNC0KqcwvLt%252B9Xj7ps2l8U5ZH%252B94NnnEBLupvW50M53qB5anJsB6EqKpBeliVu95BulwnqkX%252BFgslE0ghjQVq5tW9YyDmh4f3Zq%252FJje%252FXiwCJh95bIYXua0too5yI1S%252Bv50SnHVCjs%253D%7Cclp%3A2334524%7Ctkp%3ABFBMhMaP5ppf&LH_ItemCondition=1000
nike social status free lunch chocolate milk dunk mid size,$265.00,False,10.5,6,15,True,False,False,https://www.ebay.com/itm/313724375623?hash=item490b6e1247%3Ag%3A8AMAAOSwr29hR6ye&LH_ItemCondition=1000
nike social status dunk chocolate milk size send offers,$259.00,False,10.5,6,169,True,False,False,https://www.ebay.com/itm/403213354098?hash=item5de1638472%3Ag%3AsqAAAOSwoz5hXi-j&LH_ItemCondition=1000
dead stock social status nike dunk mid chocolate milk size in hand,$123.50,False,9.5,4,13,True,False,False,https://www.ebay.com/itm/265378002172?hash=item3dc9c2f4fc%3Ag%3AYwEAAOSwLGlhTP-Q&LH_ItemCondition=1000
social status nike free lunch dunk mid chocolate milk dj sz sb,$249.95,True,9.5,3,169,True,False,False,https://www.ebay.com/itm/284455992989?epid=5050263488&hash=item423ae5fe9d%3Ag%3ANPgAAOSwdB1hRO9G&LH_ItemCondition=1000
nike dunk mid social status free lunch chocolate milk size ready to ship now,$250.00,False,14,11,23,True,False,False,https://www.ebay.com/itm/373755205172?hash=item57058bd634%3Ag%3AUHsAAOSwylRhZyVa&LH_ItemCondition=1000
social status nike free lunch dunk chocolate milk dj sz in hand,$249.99,True,9,6,643,True,False,False,https://www.ebay.com/itm/133883350713?epid=21050262048&hash=item1f2c11ceb9%3Ag%3AEukAAOSwa4VhSg3F&LH_ItemCondition=1000
nike social status dunk chocolate milk size men ds dj,$245.00,True,7.5,6,9,True,False,False,https://www.ebay.com/itm/224657856852?epid=10050260728&hash=item344ea6d954%3Ag%3ADnMAAOSwxalhcv2f&LH_ItemCondition=1000
nike dunk mid social status free lunch chocolate milk size confirmed order,$250.00,True,9,6,73,True,False,False,https://www.ebay.com/itm/403149050255?hash=item5ddd8e518f%3Ag%3APy0AAOSwM1RhO33p&LH_ItemCondition=1000
size nike dunk mid social status chocolate milk new authentic,$235.00,True,9.5,6,375,True,False,False,https://www.ebay.com/itm/115068160372?epid=5050263488&hash=item1aca98c974%3Ag%3AvHEAAOSwDtVherNd&LH_ItemCondition=1000
deadstock nike free lunch dunk chocolate milk size social status,$152.50,False,10,11,46,True,False,False,https://www.ebay.com/itm/124980528233?epid=17050254163&hash=item1d196b8469%3Ag%3AXwkAAOSwfyBhfZkf&LH_ItemCondition=1000
social status nike dunk mid chocolate milk size,$280.00,True,10,1,1,True,False,False,https://www.ebay.com/itm/133904994247?hash=item1f2d5c0fc7%3Ag%3AjIEAAOSwED9hafg0&LH_ItemCondition=1000
nike dunk mid social status chocolate milk size new,$225.00,False,15,4,1,True,False,False,https://www.ebay.com/itm/403262225265?hash=item5de44d3b71%3Ag%3A5OsAAOSw1thheCs3&LH_ItemCondition=1000
